Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation
Image1,0,6.54,619.59,24.89,0.11,4.28,18.90,98.61,0.29,0.09,0.53,4.47,0.98
Image2,0,8.75,805.96,28.39,0.27,3.72,14.46,63.86,0.48,0.23,0.65,3.22,0.99
Image3,1,7.34,1143.81,33.82,0.00,5.06,26.48,81.87,0.03,0.00,0.27,5.98,0.98
Image4,1,5.96,959.71,30.98,0.00,5.68,33.43,151.23,0.03,0.00,0.24,7.70,0.96
Image5,0,7.32,729.54,27.01,0.15,4.28,19.08,174.99,0.34,0.12,0.50,6.83,0.97
Image6,0,7.52,607.40,24.65,0.21,3.73,14.47,105.08,0.42,0.18,0.60,4.19,0.98
Image7,0,12.30,922.75,30.38,0.13,2.93,8.97,115.20,0.32,0.10,0.53,4.88,0.97
Image8,0,15.93,1069.95,32.71,0.11,2.48,6.52,94.87,0.29,0.08,0.53,4.24,0.98
Image9,0,19.92,1166.12,34.15,0.09,2.13,4.91,93.82,0.27,0.07,0.53,4.03,0.97
Image10,1,8.48,1095.79,33.10,0.00,4.36,19.68,72.59,0.05,0.00,0.36,4.59,0.97
Image11,1,9.80,1114.83,33.39,0.00,3.87,15.55,66.29,0.04,0.00,0.38,4.63,0.97
Image12,1,12.33,1150.68,33.92,0.00,3.62,14.76,165.48,0.05,0.00,0.39,5.22,0.96
Image13,1,10.19,813.92,28.53,0.01,3.36,12.18,110.57,0.08,0.01,0.47,3.57,0.95
Image14,0,7.16,413.44,20.33,0.08,3.18,10.29,122.40,0.25,0.06,0.58,3.55,0.94
Image15,0,5.29,430.96,20.76,0.35,4.37,19.63,46.86,0.56,0.31,0.72,2.37,0.99
Image16,1,12.77,988.40,31.44,0.00,3.20,11.10,84.66,0.04,0.00,0.37,5.03,0.97
Image17,1,15.32,1076.88,32.82,0.00,2.83,8.81,102.25,0.06,0.00,0.40,5.05,0.96
Image18,0,6.25,459.40,21.43,0.12,3.81,14.77,95.86,0.31,0.10,0.56,4.23,0.97
Image19,0,5.45,337.88,18.38,0.11,3.77,14.53,63.18,0.30,0.09,0.62,2.62,0.97
Image20,0,8.33,475.78,21.81,0.20,3.08,9.95,71.21,0.41,0.17,0.65,2.90,0.97
Image21,0,6.34,293.88,17.14,0.07,3.18,10.44,92.85,0.23,0.05,0.52,4.12,0.94
Image22,0,1.48,62.09,7.88,0.13,5.94,36.99,86.34,0.32,0.11,0.54,3.88,0.91
Image23,0,4.51,280.83,16.76,0.13,4.15,17.77,52.55,0.33,0.11,0.58,3.01,0.98
Image24,0,6.59,392.21,19.80,0.20,3.44,12.25,73.96,0.41,0.17,0.64,2.99,0.97
Image25,0,10.96,619.83,24.90,0.13,2.72,7.78,91.61,0.32,0.10,0.56,3.77,0.97
Image26,1,7.48,761.82,27.60,0.00,4.37,20.61,83.91,0.03,0.00,0.31,5.39,0.97
Image27,0,1.12,66.19,8.14,0.39,7.73,61.79,188.91,0.59,0.35,0.72,4.34,0.89
Image28,0,5.66,421.39,20.53,0.07,4.23,18.78,109.32,0.23,0.05,0.50,4.40,0.97
Image29,0,8.19,556.19,23.58,0.24,3.35,11.71,78.98,0.45,0.21,0.66,2.92,0.98
Image30,0,15.86,889.21,29.82,0.19,2.24,5.48,66.43,0.40,0.16,0.63,3.03,0.98
Image31,0,4.35,214.85,14.66,0.09,3.79,14.81,44.91,0.27,0.07,0.58,2.74,0.97
Image32,1,13.15,746.81,27.33,0.03,3.26,13.14,88.15,0.14,0.02,0.47,3.98,0.97
Image33,1,14.83,808.65,28.44,0.04,3.22,12.87,101.59,0.17,0.03,0.50,3.87,0.96
Image34,1,2.50,169.77,13.03,0.01,6.26,46.80,195.51,0.07,0.00,0.42,5.45,0.79
Image35,0,2.01,69.12,8.31,0.14,4.50,20.62,20.65,0.33,0.11,0.67,1.65,0.97
Image36,0,2.47,80.39,8.97,0.27,3.97,16.07,13.21,0.48,0.23,0.77,1.15,0.98
